views,likes,comments,watch_duration,shares,title_length,description_length,edge_intensity,color_histogram,spectral_entropy,audio_intensity,engagement_score
47,5,2,100.0,1,70,525,0.6100234791004839,0.6408420831764354,0.4031517550939536,0.8750968218953338,0
52,10,2,84.32349227111348,0,73,580,0.2314891121360996,0.6116456526639268,0.6724708182138079,0.862392522598481,1
49,12,1,84.73116220860848,0,14,990,0.3340484726978391,0.7819101659278295,0.5885832015671669,0.9574721577441928,1
45,9,3,53.59124421464583,1,67,330,0.30255168883401784,0.921924276780408,0.3403432790669404,0.15193971371494197,1
29,10,2,67.6976112980526,0,41,111,0.7595785817384577,0.8355487379923378,0.4099280113924939,0.8558875921975474,1
57,7,2,52.85497689629803,1,77,901,0.14522225628817528,0.5299324129500382,0.4674974828429014,0.5679717811754323,0
41,7,2,65.3526752751177,1,76,514,0.5945298576315372,0.697191752686891,0.423415756334794,0.011924952762264796,1
56,9,3,63.14478343192239,2,7,98,0.0862476952081992,0.7958480640435661,0.3769873818093816,0.723427798570732,1
53,13,1,69.3714083656269,0,33,373,0.04682073473387045,0.8441532601795678,0.5984725830281846,0.4789198232552514,1
34,7,3,82.38293250700008,0,83,104,0.05397085413639492,0.6770074982407299,0.4855770626195039,0.1658868064331387,1
51,7,4,66.07111548798,1,66,205,0.5305126633584221,0.8288101054390514,0.5912350162986988,0.3993178721376047,1
50,8,3,82.65300739878579,2,37,443,0.3647183015117766,0.9306203711458703,0.4558755708612184,0.4321509767010291,1
57,11,1,48.01136615989464,0,64,348,0.38815067850486007,0.7440165924711709,0.4168504943241431,0.821990384612251,1
49,18,2,76.72396008079525,0,46,165,0.16596338818834794,0.8179865266823557,0.43950358253145827,0.8261513888251675,1
58,10,1,63.46424539135487,0,84,226,0.21992374578603865,0.43350368446742615,0.36681486740098423,0.8474967023943611,0
48,7,3,73.80227022113309,1,66,331,0.14778880100366723,0.5405337018014644,0.4947118558110013,0.7632040785738672,1
42,8,1,82.94391458846874,1,79,891,0.2511462949811181,0.743669164709996,0.4707421850039244,0.746539619444711,1
51,9,2,48.377177158674776,0,10,253,0.3992351422119847,0.7138436187390832,0.4866675269010312,0.6964356767692451,1
53,11,5,92.03635408873106,0,53,182,0.2409868877923672,0.649215855584798,0.2927724114506911,0.6890089949100203,1
51,10,2,67.09526992626722,0,76,383,0.4511166299400597,0.6006851611353983,0.5211265155619983,0.2837794053531961,1
48,11,4,97.92891493861805,0,47,413,0.61924957880771,0.6666661730852859,0.6759357276653578,0.6503171894896604,1
47,13,3,71.06518358395165,0,13,909,0.3484835247305419,0.6171330734244974,0.4412602435425235,0.16207287893213673,1
33,5,1,89.81331897388802,0,55,772,0.3434306605251171,0.5290955756650508,0.40254681282493754,0.3013888898892797,0
59,15,1,70.89630779421398,0,18,282,0.05672014555898667,0.8391429580946559,0.4070773783747355,0.46759599174454636,1
49,15,4,74.00842895817924,0,28,874,0.3339479570916073,0.2397520121962628,0.7022149902861747,0.999673516842037,1
50,9,4,71.74334849908733,0,76,955,0.28637953337198724,0.5246262989023163,0.5822082526917072,0.7488325632771118,1
42,5,1,66.70709363574167,1,37,587,0.5109003551668679,0.8771570867314338,0.6757304362380647,0.7682361014846839,0
48,12,1,66.13979862864613,1,33,352,0.45780632532208615,0.5942729012722439,0.5493423540600815,0.19684050036846001,1
53,12,4,73.38345455737065,1,6,916,0.10823879195442328,0.7271768464093387,0.2977483159095756,0.6533634051523557,1
47,7,6,78.22515299182024,0,86,653,0.2066783629251739,0.7934853380464961,0.47370732358438444,0.27664627234723027,1
50,10,4,73.5035141441194,1,91,932,0.21830375374170513,0.6744355830038036,0.4964700606615207,0.2461396307787611,1
53,11,3,77.78765860878848,0,99,297,0.16446793550031064,0.6062395229219782,0.3182664286791227,0.4613885970635063,1
37,5,4,47.22807320279723,0,90,402,0.45087920159094297,0.9501426556790928,0.5411621200836276,0.7118477337331877,1
64,15,2,83.55979667737265,3,56,649,0.18405691642813063,0.36888850474082213,0.4768026396467782,0.1314047617707368,1
48,11,0,58.86131764741482,0,49,298,0.6046745182226605,0.9240339328224799,0.4946554720789715,0.6482418814273614,1
49,13,2,45.28874886760615,0,88,319,0.24715951321324064,0.9792728582117863,0.49927566670473794,0.02195594752659824,1
64,13,7,97.71286458773871,0,42,238,0.243168384985187,0.8975440664228341,0.5269175552990515,0.8962652320299944,1
43,9,4,91.15297887059198,1,49,982,0.40856350942422104,0.7057585684077089,0.5177628911576992,0.38518602677238,1
39,8,0,69.84275037730616,0,20,658,0.2492409807424868,0.6399170775573927,0.48975079054123066,0.02013604152421644,0
39,6,2,86.04444903293778,0,91,256,0.3435874945628169,0.47762659863871837,0.6214592106224873,0.8022542886075276,0
37,9,0,65.03159978179667,0,51,40,0.5792613677576859,0.7435864501043733,0.6237581277693881,0.25511993776291775,1
58,13,4,62.95892059248461,2,29,400,0.6532641372867273,0.6043252886038136,0.6636313148820396,0.20733215551913486,1
57,14,2,61.08514535441351,0,61,102,0.36529584768098267,0.397885612084914,0.43839714953724235,0.2569869005419848,1
40,10,4,60.40388748986308,0,23,586,0.2101324253970225,0.8229725645034901,0.4839167969289733,0.038282784679621984,1
53,12,0,66.11381431785462,3,87,498,0.3184262950087493,0.7962344613055162,0.5529982156784674,0.9872747997393011,1
55,8,4,59.29075067982212,0,42,271,0.3878826574837137,0.36189143340714824,0.4504031384465971,0.9309253774879225,1
45,13,2,27.272097078551695,0,70,69,0.23353646930595207,0.9704593115591789,0.6231701481535559,0.6969179679336241,1
55,10,2,67.24859319045494,0,11,37,0.149063000080402,0.5264580892237444,0.5006177646224339,0.774633723776147,1
47,15,2,55.46196021263594,0,24,268,0.3860841328471395,0.7907338871958978,0.3921174675100306,0.2202896932434173,1
47,9,2,74.4590519771674,0,8,886,0.055635517474867426,0.6004849639081804,0.5162287234012307,0.8632940406625489,1
59,9,2,66.40263778386878,1,94,633,0.11891129267175342,0.7843847858197395,0.4701364323771848,0.7799434131036995,0
55,15,3,79.52219441887267,0,79,522,0.4037386154773352,0.7464761812975145,0.5907472213271707,0.41551124941970874,1
50,12,3,70.19579739034828,0,85,302,0.2169304522827981,0.5938157317901288,0.5730181037762005,0.10437762577406184,1
46,11,0,51.00361552887841,0,19,648,0.2565792939139591,0.39062712184781906,0.4813538223568514,0.9943291378667659,1
48,6,3,51.00796932479884,3,80,694,0.10042629368665133,0.8359787722092352,0.442124739234973,0.33048339720980247,1
61,16,4,51.385074448337306,0,68,692,0.062046261088270244,0.8704676056781494,0.4247894042077107,0.6384734799715825,1
66,14,1,57.04287307576724,0,61,487,0.39337047587026414,0.5908125857758596,0.4072610583747555,0.6468172444113689,1
53,10,3,59.459383019442896,0,54,44,0.020795737778073364,0.9251305787926685,0.30911558213269263,0.8824413813958782,1
45,13,3,83.79011543528752,1,21,458,0.1972956526878597,0.7708304896826252,0.4476707264645856,0.67574650233988,1
54,12,4,72.79424435295712,1,20,615,0.2595733991357705,0.4931201629777601,0.3427636917056414,0.4532277560467679,1
39,5,0,42.084468127551034,1,84,403,0.37026477023159066,0.5574546749962578,0.6913291251688636,0.2655524661587032,0
35,7,2,56.86651811735007,1,7,736,0.5454099782485159,0.8954384880593329,0.4073375950503902,0.4982078629229316,1
49,11,4,69.45035491987119,0,49,874,0.2851371749048114,0.9553096168962597,0.3687751510165179,0.680572651464855,1
47,13,2,54.93587005852035,0,48,495,0.2703485185285029,0.6414894387715361,0.6317312000367901,0.5195339327658344,1
41,7,2,71.2153868056843,2,66,591,0.10492025525319927,0.8207291595546021,0.4051911397176567,0.9221485891828348,1
52,13,2,57.41476765781876,0,96,807,0.12484126903666475,0.6147714044103976,0.6618285581605118,0.5286361864579703,1
38,10,1,67.98761283470905,0,13,530,0.3935634630252159,0.9305197942606922,0.49606042912674336,0.5057282047891276,1
54,7,3,61.46465960748185,0,64,168,0.13325477322060766,0.883196561975275,0.5995365798668001,0.5884170888241874,0
47,4,1,71.68280456944369,0,79,825,0.19446631627414337,0.778462343996337,0.4406120302046426,0.7159559564232614,0
47,10,2,91.61165404681176,0,95,331,0.2694474439782012,0.442362862379002,0.627221229718943,0.3950747274334029,1
56,14,2,83.39434238309266,2,78,910,0.24963161915371362,0.7313871437452164,0.5787077262177938,0.8770565219938127,1
48,10,1,53.781902109266596,0,80,214,0.13144116328200378,0.9390854477167514,0.5140434084935872,0.8190373731684194,1
40,10,2,100.0,0,61,361,0.4555960246826429,0.8369080185982141,0.44451732512608316,0.4056196788637684,1
35,8,3,87.71177442657338,1,99,969,0.48499421115480557,0.7917481812931989,0.5979285921495294,0.1391313453336086,1
40,9,1,59.71136528300925,0,65,181,0.4415817974571212,0.6516976397358809,0.4604984298128245,0.9226137395038604,1
55,6,3,57.00531561314146,1,68,797,0.0767257134619412,0.6259933545568197,0.603701784086584,0.0710990299526505,0
69,9,2,75.1073723907054,0,21,325,0.208599706425775,0.8682721870531376,0.6277700026332667,0.2561448550087003,0
45,11,1,80.5662280371692,1,62,676,0.49188702946042795,0.6118339190493666,0.48804211902062045,0.14249527298438025,1
37,9,4,96.50727364798772,1,51,102,0.20273240470235473,0.6148645266457345,0.594614892414541,0.9049745798986002,1
53,11,3,77.62681800636281,0,56,719,0.268918377032612,0.7088187482261213,0.6167371917960658,0.710053376960002,1
49,10,1,60.043771225212765,0,22,88,0.5837694402686329,0.7057253224203339,0.633747039572413,0.8613617411536472,1
52,11,3,62.38960822158021,2,41,728,0.6036140751897009,0.7322674712334468,0.539572678629018,0.2270789288227144,1
33,4,0,79.39920197815007,1,74,693,0.4826471106932273,0.637103586995163,0.39136169503570234,0.7909357772832032,0
49,11,4,49.89318200809035,0,21,834,0.2432973527768068,0.9664951033795606,0.4277714229613075,0.4883782300796037,1
45,9,1,92.4197634727754,0,7,948,0.09712751547007721,0.8182091704540572,0.6542510070711645,0.863735312094406,1
49,10,4,61.83056150372258,0,37,802,0.29044659469816425,0.8330871780097544,0.40057242127923354,0.3444998852873954,1
52,11,1,84.39271893438367,1,88,770,0.15734085628881578,0.694915845788141,0.5596628697353773,0.7014112668774515,1
54,13,3,87.99139425362569,0,84,589,0.23928514431102382,0.7601111043366234,0.6326980500686357,0.3012615970753667,1
46,8,4,100.0,1,11,405,0.2219637148542259,0.6447590986030574,0.6057582760332733,0.09447092890154651,1
54,10,2,65.42078583862678,0,6,843,0.20522613792009797,0.5564913262798856,0.6418002010155197,0.6687087999216134,1
61,11,1,65.83156942644523,0,38,695,0.07804853214232209,0.9212983995518994,0.606446264155623,0.2861676945684558,0
52,12,3,65.05578222869624,1,8,361,0.3861588836507892,0.5646148756436572,0.4388277624851262,0.021062070946444078,1
63,12,2,72.60591686669673,0,53,921,0.4397782149182713,0.4705266664893362,0.5170260506037035,0.5533973904790986,1
33,4,2,60.33145392905547,0,21,942,0.7494642616285625,0.7285722682424665,0.48715413284683745,0.9354197848565258,0
47,16,3,88.17882854762934,1,75,765,0.11402615050279877,0.5718248562688447,0.4398126134721788,0.08275674257678589,1
52,10,2,85.12242951414373,0,16,377,0.5045648498380064,0.7704773155882858,0.6134787438122838,0.16195269934352852,1
58,8,4,66.14509527784463,1,80,560,0.03361469698876922,0.7594936047155972,0.3946123771974117,0.9297393040071712,1
48,11,1,59.33979018186472,1,78,526,0.30095236779048756,0.8119111050021705,0.525790202346601,0.7622340208222341,1
58,13,5,63.457177125321195,0,48,99,0.04164410560298746,0.590881667773698,0.5388332055196307,0.6337507857400391,1
49,10,2,62.96341288006147,0,93,403,0.0820950099688499,0.5618348198635456,0.39559961233761126,0.8293492206124602,1
67,15,5,77.40685235131113,0,53,268,0.1898294276538956,0.6583968503536346,0.4056239597914981,0.6100682123022267,1
44,6,1,72.89618790004283,0,73,118,0.5482016877709913,0.6347726924232845,0.4506676226919091,0.12037797283869711,0
52,9,3,82.3284972074045,1,21,82,0.11119841146076626,0.7005527399458561,0.5082703331073479,0.49641226268137917,1
40,6,0,92.31025707814774,1,42,60,0.3750586537316495,0.6244215830639671,0.503548532017729,0.5688691790955118,0
50,9,2,74.4798499946057,1,60,701,0.27191731629089505,0.9660563798945416,0.5180769992205858,0.8798683253657322,1
50,10,1,78.89585660337033,0,65,601,0.16148396204890733,0.9617064981847769,0.5424709692201302,0.5079512487658635,1
51,10,2,100.0,0,79,850,0.18621903083354902,0.8624807050006459,0.5912605633157699,0.5081393209937177,1
60,13,3,78.56014820348572,1,90,373,0.1725672368336134,0.8566352305950218,0.45635298364574384,0.5547718768696892,1
41,8,1,62.654895940353654,1,88,894,0.2684474209005399,0.8280754683576511,0.39845402627170806,0.10855007206996903,1
56,10,7,68.97513716112805,0,36,508,0.2262545174426676,0.9137952129701166,0.6351829161897773,0.8804047007471343,1
54,8,2,45.01260404146076,2,60,81,0.06671729202284869,0.8737150829455301,0.31900720630992385,0.42424891341168414,1
41,6,3,78.18196753636697,1,91,309,0.14362875193347358,0.8078917209520842,0.4494070274095498,0.8141689443417109,1
47,7,2,61.75735373508029,1,27,902,0.340477163936877,0.831686722222289,0.5032923206319002,0.5515664809146918,1
48,11,2,56.63838388248138,0,70,684,0.47838558950161364,0.858011817157825,0.580328696166037,0.696370622004174,1
61,15,2,57.02374934371708,0,71,111,0.47462988615185636,0.65594460428894,0.5881245044374729,0.284214713699645,1
50,12,3,87.15184015643229,2,9,441,0.27102132095183945,0.796075556249466,0.6124712634199176,0.7080865631955507,1
48,11,2,66.11733343783405,0,27,193,0.38716735926026663,0.6501291837319205,0.5244223329829358,0.08566704556853877,1
50,9,4,81.46485290515783,1,55,928,0.1997292733477092,0.8020065973410624,0.566699301123531,0.20346612886627435,1
50,12,6,75.78610492323433,2,29,672,0.11900234369354935,0.8143974182366703,0.3341097015461403,0.8084449874193466,1
53,11,1,73.0052569481792,0,28,442,0.3427697643389054,0.3879227406029698,0.5852990669067599,0.6568083015926176,1
37,4,0,64.25141905144025,0,34,717,0.23826521879734383,0.6728375572602368,0.4297131753443934,0.1876720985880571,0
41,12,1,77.43611582445814,0,55,630,0.3018981025133935,0.5129965028404352,0.41783744062212225,0.4101294992518928,1
41,5,2,63.61147954548949,0,34,598,0.14880286036454818,0.6517334117138956,0.4173969891435729,0.7029918396784213,0
43,9,1,72.34687841308897,0,76,713,0.33074931858953843,0.7991815576517602,0.457799008530082,0.6256963495502705,1
61,12,7,86.59362166877573,1,50,503,0.010702412435758518,0.8174604354523397,0.45281603807456106,0.33844690326073057,1
53,13,4,89.75520729161545,0,61,655,0.43434250593706175,0.7790523354586415,0.5567789616850084,0.9158748912777372,1
